Год,Место,Золото,Серебро,Бронза
1956,КОРТИНА Д`АМПЕЦЦО (зима),0,0,0
1976,ИНСБРУК (зима),0,0,0
1992,АЛЬБЕРВИЛЬ (зима),0,0,0
1994,ЛИЛЛЕХАММЕР (зима),0,0,1
1998,НАГАНО (зима),0,0,1
2002,СОЛТ ЛЕЙК СИТИ (зима),2,0,0
2006,ТУРИН (зима),1,0,1
2010,ВАНКУВЕР (зима),2,1,0
2014,СОЧИ (зима),0,2,1
2018,ПХЁНЧХАН (зима),0,2,1
2022,ПЕКИН (зима),1,2,1
