Год,Место,Золото,Серебро,Бронза
2000,СИДНЕЙ,8,14,10
2004,АФИНЫ,9,9,9
2008,ПЕКИН,6,6,9
2012,ЛОНДОН,4,6,4
2016,РИО-ДЕ-ЖАНЕЙРО,3,7,5
2020,ТОКИО,7,3,10
