Год,Место,Золото,Серебро,Бронза
2002,СОЛТ ЛЕЙК СИТИ (зима),1,0,0
2006,ТУРИН (зима),1,0,0
2010,ВАНКУВЕР (зима),1,1,0
2014,СОЧИ (зима),0,1,0
2018,ПХЁНЧХАН (зима),0,2,1
2022,ПЕКИН (зима),0,1,0
