Год,Место,Золото,Серебро,Бронза
2000,СИДНЕЙ,7,9,6
2004,АФИНЫ,8,7,8
2008,ПЕКИН,8,7,8
2012,ЛОНДОН,3,9,8
2016,РИО-ДЕ-ЖАНЕЙРО,5,3,4
2020,ТОКИО,10,3,9
