Год,Место,Золото,Серебро,Бронза
2000,СИДНЕЙ,7,9,6
2002,СОЛТ ЛЕЙК СИТИ (зима),1,0,0
2004,АФИНЫ,8,7,8
2006,ТУРИН (зима),0,0,1
2008,ПЕКИН,8,7,8
2010,ВАНКУВЕР (зима),1,0,0
2012,ЛОНДОН,3,9,8
2014,СОЧИ (зима),0,1,1
2016,РИО-ДЕ-ЖАНЕЙРО,5,3,4
2018,ПХЁНЧХАН (зима),0,0,0
2020,ТОКИО,10,3,9
2022,ПЕКИН (зима),1,1,1
