Год,Место,Золото,Серебро,Бронза
2000,СИДНЕЙ,8,14,10
2002,СОЛТ ЛЕЙК СИТИ (зима),1,0,0
2004,АФИНЫ,9,9,9
2006,ТУРИН (зима),1,0,0
2008,ПЕКИН,6,6,9
2010,ВАНКУВЕР (зима),1,1,0
2012,ЛОНДОН,4,6,4
2014,СОЧИ (зима),0,1,0
2016,РИО-ДЕ-ЖАНЕЙРО,3,7,5
2018,ПХЁНЧХАН (зима),0,2,1
2020,ТОКИО,7,3,10
2022,ПЕКИН (зима),0,1,0
